,word,frequency
0,whats,23729
1,that,84333
2,its,28558
3,a,115028
4,chicken,1156
5,yeah,36697
6,this,49225
7,what,84920
8,is,68698
9,hat,2414
10,huh,12167
11,oh,54134
12,look,21676
13,at,18605
14,theres,10703
15,picnic,217
16,table,2276
17,and,74511
18,you,232443
19,can,34719
20,sit,5887
21,some,16917
22,people,2839
23,down,13846
24,here,36495
25,i,84145
26,dont,34212
27,know,22546
28,ladder,259
29,guess,1731
30,take,9524
31,him,9663
32,out,13497
33,go,35451
34,for,23973
35,ride,1664
36,with,24286
37,the,170204
38,whoops,1674
39,dogs,607
40,up,24062
41,ah,3879
42,little,18432
43,boy,6054
44,shall,1883
45,we,36343
46,eat,8320
47,come,17107
48,on,46245
49,first,3397
50,dog,2481
51,comes,2032
52,girl,4027
53,in,53441
54,there,36989
55,it,103901
56,ball,5134
57,where,16367
58,does,11795
59,no,37494
60,let,7357
61,me,25653
62,see,33511
63,one,31872
64,dump,479
65,them,14043
66,all,18805
67,open,3587
68,nope,919
69,doesnt,5124
70,try,4156
71,right,28425
72,want,26704
73,to,80753
74,stack,169
75,did,25598
76,say,14218
77,baby,9933
78,he,28414
79,put,26475
80,car,5210
81,bed,2953
82,are,36619
83,they,17689
84,person,604
85,two,7422
86,another,5301
87,get,25621
88,thats,43027
89,good,20598
90,somebody,1087
91,chair,3086
92,ta,1263
93,very,9057
94,now,19659
95,else,6003
96,got,11655
97,should,4944
98,something,6113
99,mommy,11770
100,do,60214
101,climb,532
102,boom,1145
103,so,16758
104,again,4953
105,why,10009
106,each,511
107,step,372
108,start,1099
109,ground,356
110,like,29573
111,these,7371
112,inside,1582
113,of,26921
114,together,1933
115,those,7843
116,but,11574
117,puppy,947
118,anywhere,274
119,hard,2120
120,square,638
121,was,17295
122,neat,558
123,through,1823
124,just,15883
125,outside,2053
126,box,3570
127,around,4015
128,almost,1394
129,had,4977
130,found,1380
131,wasnt,1275
132,whered,921
133,find,4253
134,daddy,7227
135,home,3227
136,wait,3911
137,moment,115
138,yellow,2275
139,green,2673
140,orange,1690
141,if,11409
142,build,1145
143,tower,531
144,blue,3174
145,crash,339
146,went,3681
147,stay,1998
148,over,10824
149,goes,4826
150,house,4836
151,fun,2018
152,tell,6909
153,um,4124
154,cooker,14
155,cha,204
156,arent,1612
157,sweetheart,647
158,sponge,101
159,though,1833
160,touch,1397
161,back,10931
162,make,9475
163,stand,1382
164,yes,13311
165,honey,5668
166,sandy,102
167,shell,834
168,be,15554
169,few,625
170,nice,6149
171,same,1339
172,more,10116
173,ladies,66
174,well,20083
175,think,18874
176,lady,1014
177,pretty,4222
178,play,9949
179,were,12409
180,only,1912
181,not,20597
182,top,2154
183,away,4331
184,block,777
185,circle,885
186,ed,16
187,turn,5135
188,keep,2298
189,turning,369
190,until,892
191,too,11432
192,theyre,5685
193,bigger,701
194,cup,1822
195,other,6473
196,then,9991
197,littler,37
198,bitty,46
199,red,3421
200,next,2152
201,which,3269
202,best,717
203,big,9986
204,pull,1983
205,quite,581
206,fit,1341
207,o,682
208,rid,135
209,shape,344
210,rectangle,136
211,cylinder,11
212,triangle,448
213,push,2895
214,three,3673
215,sides,132
216,must,1334
217,bunk,47
218,rolling,285
219,lounge,11
220,going,13604
221,frank,79
222,wake,498
223,morning,1952
224,his,9987
225,tail,873
226,didnt,6235
227,anything,1907
228,fall,1731
229,off,8145
230,sure,3722
231,making,1891
232,noise,1135
233,alright,7098
234,thought,2108
235,brett,7
236,how,17172
237,about,12089
238,papa,329
239,have,26657
240,who,8875
241,could,5593
242,uncle,351
243,ya,5621
244,doing,9902
245,way,5945
246,watch,3199
247,give,5957
248,hank,36
249,ahead,1340
250,upside,487
251,wow,3510
252,worry,256
253,wont,2383
254,line,423
255,watching,488
256,as,2757
257,babe,124
258,show,3637
259,easy,503
260,everything,1318
261,help,4302
262,better,3611
263,ready,4049
264,pick,2156
265,finished,1077
266,round,852
267,doll,823
268,c,751
269,sleep,1902
270,sleeping,873
271,or,8082
272,standing,448
273,fell,1682
274,mamma,34
275,whoa,2003
276,bye,1824
277,ivy,21
278,ouch,389
279,gin,1
280,throw,2602
281,break,1080
282,count,804
283,four,2139
284,five,2073
285,six,1199
286,coming,2090
287,knock,718
288,hole,812
289,door,2109
290,she,16676
291,sitting,1241
292,need,6856
293,left,1132
294,while,1851
295,needs,962
296,white,1426
297,move,1836
298,color,2988
299,even,1782
300,her,10894
301,bedroom,320
302,done,3071
303,taking,1040
304,their,2163
305,havent,841
306,looked,534
307,yet,1665
308,basketball,199
309,later,1513
310,ill,9445
311,bet,907
312,high,762
313,basket,618
314,sideways,55
315,kind,3712
316,truck,2231
317,set,992
318,food,1877
319,place,1135
320,turned,434
321,bit,2430
322,bring,2504
323,into,2578
324,walk,1713
325,drive,697
326,driving,422
327,maybe,4808
328,will,5691
329,time,5817
330,man,2139
331,store,1415
332,shut,538
333,old,1943
334,cowboy,259
335,youd,713
336,hey,5068
337,would,9104
338,kent,159
339,briefly,3
340,grill,31
341,dinner,1024
342,cooking,284
343,floor,1949
344,whee,598
345,cook,510
346,fire,936
347,hot,1752
348,hamburger,125
349,platter,6
350,bench,164
351,cant,6961
352,carefully,120
353,plate,592
354,wanted,1126
355,your,46118
356,dress,727
357,knocking,88
358,happened,3067
359,amazed,21
360,bowwow,76
361,someone,528
362,shed,190
363,having,1156
364,bite,1524
365,jo,47
366,salad,186
367,pie,519
368,toy,1354
369,lid,221
370,close,1972
371,flat,255
372,peek,237
373,piece,2000
374,dance,629
375,juice,2635
376,teasing,87
377,poor,751
378,awhile,108
379,hide,529
380,from,4544
381,nan,31
382,stick,931
383,apart,636
384,cute,1079
385,youve,1531
386,full,658
387,nobody,389
388,pretend,1246
389,farmer,262
390,horseback,2
391,riding,490
392,rooster,268
393,many,2363
394,steak,49
395,resting,69
396,snap,327
397,falling,501
398,behind,889
399,bean,177
400,crouch,1
401,teacher,400
402,minute,2413
403,tea,930
404,drink,2164
405,my,14195
406,milk,2745
407,yours,1277
408,feed,574
409,wed,167
410,interested,195
411,park,581
412,swing,549
413,along,447
414,us,2873
415,chick,283
416,said,6124
417,getting,2615
418,breakfast,1422
419,side,1462
420,bummer,8
421,zip,243
422,hum,451
423,arm,635
424,use,2673
425,seven,985
426,hurt,1933
427,knee,261
428,finger,972
429,hear,2654
430,busy,515
431,hi,4781
432,please,3801
433,water,3983
434,thing,3397
435,dad,624
436,foot,1566
437,any,4241
438,finish,1247
439,putting,1284
440,skinny,61
441,funny,2638
442,shaped,66
443,git,5
444,great,2081
445,fantastic,57
446,easter,237
447,seat,545
448,accident,206
449,pyramid,5
450,doggy,443
451,anyhow,16
452,chew,701
453,whoop,379
454,fix,1722
455,figure,320
456,careful,2097
457,laying,71
458,missing,410
459,roll,945
460,forth,125
461,mean,3482
462,really,5992
463,threw,351
464,stuff,2139
465,work,2348
466,second,1008
467,chewing,193
468,birdie,400
469,naughty,138
470,dummy,19
471,slide,904
472,bird,1879
473,duck,1698
474,our,2828
475,eating,2066
476,already,1261
477,eaten,135
478,betty,83
479,crying,706
480,nap,863
481,awfully,125
482,sad,639
483,happy,1545
484,meat,430
485,chuck,19
486,eh,345
487,beginning,186
488,may,1114
489,heavy,515
490,cheating,41
491,yep,2354
492,twist,70
493,straight,413
494,room,2373
495,dogger,1
496,working,567
497,might,2256
498,woof,547
499,difficult,91
500,when,9537
501,fooling,36
502,called,2510
503,call,1802
504,tissue,270
505,picking,211
506,job,1707
507,made,2273
508,by,2791
509,himself,337
510,everybody,766
511,family,376
512,soon,820
513,hed,159
514,farm,583
515,rest,806
516,leave,2115
517,tired,1227
518,awake,141
519,hungry,1163
520,theyll,369
521,barbecue,20
522,weve,630
523,rocking,263
524,probably,1332
525,aw,908
526,looking,2256
527,night,2103
528,tammy,14
529,always,1093
530,couch,404
531,window,885
532,front,881
533,fireman,109
534,siren,42
535,squeeze,241
536,remember,4792
537,hose,80
538,bucket,321
539,pour,504
540,hurry,405
541,ax,37
542,hold,3460
543,pillow,475
544,frankfurter,2
545,because,8096
546,anyone,179
547,school,2842
548,pee,256
549,different,1536
550,everyone,320
551,beach,658
552,end,1213
553,puzzle,834
554,bless,404
555,gone,1079
556,still,2554
557,tiny,626
558,whoo,99
559,driver,267
560,an,5254
561,underdog,2
562,taller,85
563,pitch,21
564,pitching,7
565,batter,27
566,pitcher,62
567,since,389
568,lunch,1217
569,woke,181
570,being,1017
571,lazy,65
572,someplace,55
573,tall,512
574,bottom,686
575,middle,393
576,against,148
577,lawn,50
578,living,366
579,turkey,350
580,duckie,308
581,cold,1677
582,button,911
583,whole,1284
584,country,152
585,wouldnt,834
586,dollhouse,37
587,playhouse,32
588,supposed,1344
589,live,913
590,generally,15
591,sleepy,836
592,cake,988
593,enough,1652
594,wrong,1217
595,buy,1432
596,chocolate,890
597,cranberry,43
598,whipped,17
599,cream,811
600,except,299
601,hand,2865
602,crashed,77
603,listen,1103
604,never,1402
605,mind,380
606,egg,1107
607,mine,1197
608,mines,70
609,answer,255
610,asleep,380
611,belong,258
612,quiet,518
613,turns,208
614,guy,1534
615,loose,132
616,talking,1419
617,real,1703
618,couple,549
619,littlest,25
620,than,1360
621,silly,2103
622,works,466
623,size,206
624,yellows,24
625,brother,582
626,unhappy,72
627,face,1885
628,took,1278
629,cookout,7
630,waiting,389
631,lay,383
632,mouth,2663
633,trip,330
634,small,921
635,evidently,8
636,mixed,121
637,undone,25
638,tight,340
639,afraid,323
640,told,1077
641,colors,856
642,above,141
643,below,86
644,lie,341
645,garage,404
646,missed,368
647,head,3034
648,across,307
649,closing,90
650,rolled,107
651,object,10
652,whose,723
653,tummy,562
654,meeting,94
655,cool,812
656,cooled,20
657,burned,67
658,ruth,17
659,lying,195
660,nose,2516
661,running,581
662,somewhere,555
663,special,675
664,angry,314
665,spaceship,88
666,came,1760
667,tricky,92
668,nifty,13
669,eachother,132
670,ice,814
671,bad,1911
672,fat,382
673,nothing,920
674,sir,226
675,baked,39
676,keeping,66
677,lovely,205
678,day,2718
679,chaise,1
680,swimming,732
681,splash,273
682,bowls,60
683,new,2820
684,starting,142
685,rain,487
686,wet,1062
687,forgot,662
688,rained,22
689,carry,465
690,playing,2195
691,furniture,139
692,nicely,140
693,biggest,128
694,wooden,74
695,trouble,480
696,grocery,128
697,upstairs,740
698,de,76
699,shouldnt,291
700,amy,31
701,toast,629
702,snack,444
703,instead,533
704,alligator,279
705,lion,809
706,today,4073
707,bread,797
708,butter,680
709,lick,154
710,sour,49
711,napkin,323
712,wipe,767
713,candy,481
714,cane,36
715,cracker,355
716,crackers,221
717,sticky,476
718,washcloth,76
719,wash,1415
720,taken,136
721,pop,918
722,been,1785
723,seed,86
724,hit,1166
725,spot,433
726,run,1072
727,medicine,430
728,lined,33
729,matter,1063
730,sweetie,2553
731,cough,221
732,welcome,692
733,part,1616
734,yuck,335
735,pile,222
736,sudden,60
737,decide,143
738,reach,442
739,peel,127
740,peeled,11
741,cover,483
742,clean,2024
743,discard,2
744,fine,820
745,kiss,1565
746,understand,634
747,yer,290
748,ask,1369
749,sometimes,1022
750,repeat,32
751,serious,80
752,slow,285
753,seen,948
754,life,217
755,talk,2706
756,yourself,1470
757,snow,925
758,under,1747
759,bear,3086
760,pine,43
761,town,318
762,name,3935
763,glass,490
764,tip,120
765,starving,29
766,without,479
767,touching,137
768,quietly,68
769,machine,328
770,anybody,412
771,university,18
772,hallway,22
773,bag,1431
774,pardon,107
775,eggnog,44
776,bun,36
777,lot,1458
778,bib,301
779,thirsty,360
780,quick,349
781,peanutbutter,239
782,burped,25
783,bunny,1970
784,sandwich,454
785,lean,76
786,dry,744
787,frog,706
788,known,41
789,half,650
790,reading,561
791,icing,37
792,mess,858
793,feel,1604
794,yesterday,1165
795,skiing,31
796,fast,903
797,week,771
798,lift,272
799,times,365
800,ski,26
801,cry,585
802,delicious,462
803,mark,1920
804,snowing,86
805,ruff,242
806,downstairs,572
807,soda,133
808,nutritious,12
809,game,1188
810,gave,1084
811,turtle,596
812,hell,607
813,after,2039
814,ring,922
815,bracelet,120
816,gee,137
817,bret,4
818,necklace,171
819,mushy,47
820,taught,115
821,before,1973
822,banana,769
823,asking,202
824,taste,699
825,thanks,616
826,blanket,744
827,young,186
828,crib,240
829,save,273
830,booster,14
831,every,636
832,send,194
833,read,4715
834,word,913
835,wear,1420
836,pants,1012
837,pretzel,62
838,sticks,244
839,camera,737
840,teeth,1270
841,picture,2561
842,pig,1132
843,grandma,889
844,boulder,30
845,grandpa,433
846,born,230
847,number,835
848,nine,846
849,jane,121
850,joe,143
851,sick,630
852,sorry,1691
853,last,1986
854,played,439
855,ate,752
856,supper,478
857,circus,273
858,saw,2017
859,clown,473
860,scary,367
861,scare,168
862,noisy,203
863,squirt,193
864,none,184
865,telling,452
866,frosting,73
867,tonight,750
868,airport,120
869,eric,499
870,showed,144
871,stop,2360
872,rag,36
873,apple,1507
874,graham,82
875,much,3023
876,ran,396
877,cupboard,68
878,puff,68
879,darn,40
880,dropped,484
881,bar,100
882,sucker,27
883,pumpkin,503
884,tasty,258
885,mack,16
886,am,1708
887,fold,218
888,tear,209
889,forget,477
890,idea,1382
891,loud,464
892,glad,362
893,washing,292
894,tongue,472
895,eye,824
896,dirty,1305
897,wheat,222
898,kitty,2960
899,cheese,1382
900,cut,1358
901,bud,89
902,drop,381
903,happen,601
904,animal,705
905,god,678
906,TRUE,567
907,party,873
908,drinking,425
909,rice,398
910,knife,254
911,messy,262
912,closet,267
913,coffee,1204
914,favorite,971
915,bat,224
916,brought,529
917,lots,203
918,share,443
919,raisin,154
920,sharing,84
921,yummy,1106
922,peanut,197
923,monster,429
924,pretending,218
925,incredible,53
926,hulk,132
927,movie,639
928,yucky,399
929,salty,112
930,poured,60
931,chip,122
932,pot,413
933,pouring,82
934,drank,119
935,spilled,217
936,spilling,72
937,saucer,60
938,cloth,113
939,jump,1181
940,seated,8
941,spill,440
942,coke,83
943,tray,259
944,figured,94
945,marbles,40
946,shake,912
947,pizza,299
948,refrigerator,428
949,oven,210
950,light,1415
951,lower,36
952,spread,88
953,pimento,1
954,poke,106
955,sip,84
956,goof,16
957,doctor,750
958,rouse,1
959,scoot,94
960,piggy,545
961,grow,388
962,strong,326
963,honk,108
964,muffin,122
965,counter,90
966,actually,1332
967,toaster,49
968,stuck,1165
969,werent,354
970,king,372
971,helping,214
972,either,792
973,showing,168
974,dangerous,188
975,bonk,186
976,prefer,35
977,sat,288
978,crack,193
979,rather,244
980,root,39
981,beer,93
982,bubbly,19
983,love,2402
984,lemon,140
985,tuna,54
986,ow,692
987,bing,19
988,bah,116
989,pow,50
990,rotten,43
991,trickortreating,6
992,cat,2654
993,smile,268
994,penny,230
995,pancake,89
996,licked,24
997,gross,109
998,sauce,194
999,sausage,43
1000,empty,393
1001,chips,193
1002,hers,133
1003,blow,908
1004,book,7417
1005,nutty,12
1006,vanilla,108
1007,spoon,1279
1008,wind,374
1009,windy,84
1010,hair,2939
1011,jeep,57
1012,story,2138
1013,rabbit,911
1014,boots,337
1015,carrot,311
1016,hammer,477
1017,nut,163
1018,miffy,181
1019,roof,256
1020,sled,83
1021,swoosh,15
1022,frosty,27
1023,dear,736
1024,frozen,134
1025,saying,1372
1026,cried,265
1027,tomorrow,960
1028,moon,774
1029,used,996
1030,long,2170
1031,page,1429
1032,boot,101
1033,neck,506
1034,coat,421
1035,dressed,580
1036,snowy,41
1037,slope,1
1038,whoosh,50
1039,black,1149
1040,cleaned,155
1041,id,730
1042,started,396
1043,peeking,45
1044,weather,107
1045,vane,13
1046,scarf,76
1047,wood,324
1048,happier,26
1049,bow,192
1050,wearing,748
1051,buttons,430
1052,leaves,413
1053,ever,1170
1054,sell,131
1055,peep,143
1056,peeping,4
1057,warm,585
1058,carrying,187
1059,singing,419
1060,excuse,549
1061,sledding,37
1062,pocketbook,161
1063,beak,73
1064,built,131
1065,dancing,468
1066,herself,210
1067,glued,34
1068,rode,85
1069,acting,65
1070,goofy,138
1071,mother,1161
1072,allowed,111
1073,happening,416
1074,fair,171
1075,sun,812
1076,shining,57
1077,tops,59
1078,course,378
1079,cap,115
1080,hill,333
1081,year,618
1082,smily,58
1083,air,557
1084,promised,27
1085,skip,109
1086,monkey,870
1087,owl,341
1088,whatever,293
1089,crisp,11
1090,covered,123
1091,jumping,366
1092,missy,30
1093,skipped,58
1094,least,206
1095,anyway,521
1096,both,1045
1097,wrap,190
1098,warmly,9
1099,slid,27
1100,tumbled,28
1101,smiling,137
1102,wore,84
1103,suddenly,137
1104,soft,494
1105,cheep,65
1106,buried,46
1107,tie,376
1108,sound,783
1109,named,292
1110,clear,128
1111,flew,121
1112,sing,1604
1113,sang,84
1114,woolly,28
1115,holding,607
1116,feeling,250
1117,shy,67
1118,wrapped,71
1119,indoors,12
1120,peeped,5
1121,garden,289
1122,however,22
1123,paying,73
1124,attention,133
1125,thinking,531
1126,natural,49
1127,shirt,1316
1128,meant,200
1129,recognized,6
1130,also,758
1131,righto,5
1132,sliding,83
1133,hug,584
1134,chipped,3
1135,building,446
1136,hitting,153
1137,bottle,1161
1138,intact,1
1139,cum,1
1140,gun,169
1141,stays,168
1142,brown,967
1143,igloo,13
1144,snowsuit,14
1145,own,766
1146,pound,74
1147,everywhere,408
1148,jacket,303
1149,skating,55
1150,board,216
1151,kick,442
1152,peak,17
1153,goodness,247
1154,wide,228
1155,question,364
1156,often,77
1157,bang,1015
1158,paint,437
1159,sticking,197
1160,sue,103
1161,lap,522
1162,horse,1598
1163,begin,72
1164,muffy,6
1165,rip,161
1166,boat,917
1167,w,409
1168,butterfly,460
1169,balloon,536
1170,hah,101
1171,boo,1031
1172,brush,1136
1173,hello,3084
1174,telephone,596
1175,dada,563
1176,phone,1123
1177,press,502
1178,woo,755
1179,realized,45
1180,ay,67
1181,grr,29
1182,scared,518
1183,lonesome,3
1184,comb,501
1185,squeak,275
1186,wha,74
1187,u,239
1188,wild,204
1189,speak,150
1190,phoo,1
1191,ho,309
1192,wo,20
1193,ear,589
1194,wee,821
1195,sweet,708
1196,smell,547
1197,wicked,47
1198,laugh,208
1199,licking,61
1200,tickle,1160
1201,knocked,281
1202,dolly,540
1203,possible,76
1204,talked,162
1205,interesting,523
1206,bought,456
1207,abu,25
1208,liked,261
1209,flap,127
1210,breeze,33
1211,puppet,264
1212,pet,269
1213,zipper,246
1214,untie,78
1215,rattle,257
1216,flatten,14
1217,quack,937
1218,e,743
1219,peekaboo,1509
1220,hate,150
1221,pocket,506
1222,kicking,120
1223,sister,538
1224,destruction,5
1225,knew,497
1226,baba,186
1227,ba,101
1228,di,141
1229,sassy,16
1230,crazy,350
1231,fly,754
1232,wadi,1
1233,leaving,148
1234,doghouse,21
1235,shoe,904
1236,alone,614
1237,restrained,1
1238,reason,263
1239,zat,9
1240,trying,1720
1241,cow,1620
1242,moo,934
1243,appropriate,16
1244,important,149
1245,stuffed,89
1246,practice,110
1247,dapper,11
1248,dan,56
1249,encouraged,7
1250,double,90
1251,knot,87
1252,aware,23
1253,mostly,81
1254,camel,157
1255,decided,141
1256,whenever,99
1257,cause,978
1258,ridiculous,39
1259,fish,1874
1260,multitude,1
1261,brushes,51
1262,hamster,65
1263,entranced,4
1264,less,97
1265,stage,55
1266,point,292
1267,verbal,9
1268,exploring,14
1269,confined,3
1270,impossible,27
1271,usually,471
1272,situation,35
1273,physical,15
1274,throwing,306
1275,similar,31
1276,bug,562
1277,sock,419
1278,darling,188
1279,spanked,20
1280,closed,487
1281,wish,314
1282,spank,115
1283,blah,151
1284,completely,71
1285,chomp,18
1286,suspenders,20
1287,dragon,298
1288,friendly,116
1289,space,373
1290,da,235
1291,data,8
1292,far,612
1293,gon,12
1294,believe,442
1295,key,281
1296,clobber,1
1297,chico,5
1298,brain,47
1299,vacuum,151
1300,cleaner,119
1301,child,231
1302,between,223
1303,soup,550
1304,possibly,35
1305,attached,88
1306,month,104
1307,bum,84
1308,opening,132
1309,smelling,38
1310,amelia,32
1311,whare,1
1312,kissing,186
1313,broken,815
1314,mouse,995
1315,elephant,937
1316,th,83
1317,zebra,187
1318,calling,275
1319,whore,52
1320,y,323
1321,undo,31
1322,clothes,1113
1323,paper,2211
1324,flower,688
1325,umbrella,265
1326,crayon,540
1327,mirror,555
1328,f,405
1329,shave,57
1330,leash,41
1331,mum,55
1332,trucks,369
1333,write,1426
1334,scissors,255
1335,letter,871
1336,caught,408
1337,r,359
1338,difference,156
1339,whale,227
1340,flying,447
1341,catch,1157
1342,waving,123
1343,rough,212
1344,brushing,135
1345,furry,46
1346,strange,166
1347,lose,289
1348,walking,666
1349,s,621
1350,bath,943
1351,bathtub,359
1352,iron,122
1353,yarn,78
1354,humpty,53
1355,easier,281
1356,unbutton,16
1357,wall,501
1358,hiding,655
1359,cage,169
1360,rat,76
1361,rocker,16
1362,letting,69
1363,z,223
1364,zipped,15
1365,plenty,185
1366,kettle,33
1367,hopscotch,10
1368,listening,214
1369,change,840
1370,diaper,1140
1371,unzipped,7
1372,eight,921
1373,ten,915
1374,hope,607
1375,dolphin,43
1376,such,817
1377,kitten,201
1378,k,327
1379,raccoon,108
1380,bridge,444
1381,strap,45
1382,street,573
1383,burry,1
1384,vacation,201
1385,pup,44
1386,bowl,856
1387,kite,139
1388,steam,66
1389,cereal,771
1390,engine,490
1391,crane,92
1392,snowblower,1
1393,mike,175
1394,h,373
1395,sky,515
1396,airplane,905
1397,b,874
1398,aunt,265
1399,d,704
1400,fancy,93
1401,drum,237
1402,parade,112
1403,microphone,1237
1404,tape,1811
1405,record,273
1406,sh,65
1407,hurting,129
1408,castle,174
1409,marco,9
1410,fishing,131
1411,poppy,45
1412,christopher,116
1413,tumble,43
1414,unicorn,57
1415,jelly,220
1416,wonder,719
1417,crocodile,161
1418,thumb,259
1419,ha,712
1420,scratchy,138
1421,pat,336
1422,forty,177
1423,sally,455
1424,patting,66
1425,scratch,198
1426,tick,197
1427,t,504
1428,cutie,135
1429,p,392
1430,sec,60
1431,higher,140
1432,peter,940
1433,magic,269
1434,grab,290
1435,wan,64
1436,pink,962
1437,dum,71
1438,myself,263
1439,free,170
1440,rose,78
1441,draw,1894
1442,tulip,31
1443,daisy,229
1444,meet,284
1445,bucky,10
1446,sort,434
1447,familiar,36
1448,peach,84
1449,friend,984
1450,learned,181
1451,lately,97
1452,dig,141
1453,dirt,304
1454,mealtime,2
1455,mug,29
1456,mush,58
1457,aquarium,87
1458,si,17
1459,clock,388
1460,stroller,195
1461,river,203
1462,ant,117
1463,recognize,59
1464,purple,948
1465,fluffy,44
1466,g,424
1467,catching,57
1468,jar,147
1469,j,272
1470,l,398
1471,m,422
1472,n,520
1473,onion,39
1474,paste,31
1475,q,163
1476,quilt,34
1477,rock,586
1478,train,1977
1479,trike,8
1480,tricycle,96
1481,valentine,98
1482,v,222
1483,wagon,291
1484,x,263
1485,xylophone,56
1486,yolk,48
1487,yawn,76
1488,zipping,10
1489,fan,123
1490,feather,82
1491,lost,639
1492,mass,19
1493,pike,4
1494,baseball,211
1495,smart,399
1496,liquid,24
1497,pear,218
1498,gotten,134
1499,tonga,1
1500,alphabet,129
1501,strawberry,258
1502,stacking,23
1503,pan,199
1504,workout,3
1505,harder,141
1506,dale,42
1507,voice,257
1508,low,134
1509,unique,7
1510,wonderful,293
1511,raggedy,41
1512,hairbrush,31
1513,stomach,121
1514,throat,130
1515,leg,627
1516,joey,120
1517,float,56
1518,ribbon,158
